"","X","OCCUPATION","X2014.TOTAL","X2014.UNION.MEMBER","X2014.UNION.REPR","X2014.NON.UNION","X2015.TOTAL","X2015.UNION.MEMBER","X2015.UNION.REPR","X2015.NON.UNION","OCC_CODE"
"1",1,"Management, professional, and related occupations","1,137","1,132","1,129","1,139","1,158","1,152","1,148","1,160",1
"2",2,"Management, business, and financial operations occupations","1,227","1,246","1,243","1,226","1,258","1,273","1,291","1,257",2
"3",3,"Management occupations","1,295","1,333","1,333","1,292","1,351","1,386","1,380","1,349",3
"4",4,"Business and financial operations occupations","1,107","1,135","1,131","1,104","1,137","1,108","1,132","1,138",4
"5",5,"Professional and related occupations","1,078","1,117","1,112","1,068","1,112","1,140","1,132","1,103",5
"6",6,"Computer and mathematical occupations","1,368","1,288","1,277","1,373","1,428","1,388","1,327","1,434",6
"7",7,"Architecture and engineering occupations","1,377","1,416","1,424","1,370","1,424","1,393","1,399","1,427",7
"8",8,"Life, physical, and social science occupations","1,168","1,271","1,276","1,141","1,206","1,249","1,266","1,187",8
"9",9,"Community and social service occupations","858","1,017","1,010","822","889","1,014","1,008","855",9
"10",10,"Legal occupations","1,271","1,208","1,333","1,270","1,391","1,551","1,547","1,373",10
"11",11,"Education, training, and library occupations","953","1,077","1,069","851","956","1,095","1,074","860",11
"12",12,"Arts, design, entertainment, sports, and media occupations","956","1,130","1,110","946","1,001","1,228","1,212","984",12
"13",13,"Healthcare practitioner and technical occupations","1,033","1,128","1,115","1,020","1,041","1,211","1,194","1,014",13
"14",14,"Service occupations","505","762","751","482","509","753","742","489",14
"15",15,"Healthcare support occupations","498","569","558","493","498","544","546","495",15
"16",16,"Protective service occupations","833","1,107","1,093","687","796","1,031","1,029","687",16
"17",17,"Food preparation and serving related occupations","439","535","525","433","441","515","512","436",17
"18",18,"Building and grounds cleaning and maintenance occupations","480","644","633","456","486","648","628","469",18
"19",19,"Personal care and service occupations","487","591","583","480","498","515","521","496",19
"20",20,"Sales and office occupations","666","788","788","654","673","810","801","662",20
"21",21,"Sales and related occupations","705","728","724","704","716","702","710","716",21
"22",22,"Office and administrative support occupations","651","801","801","632","656","831","821","639",22
"23",23,"Natural resources, construction, and maintenance occupations","756","1,076","1,062","705","761","1,070","1,052","711",23
"24",24,"Farming, fishing, and forestry occupations","429","Ð","Ð","423","464","Ð","Ð","460",24
"25",25,"Construction and extraction occupations","756","1,095","1,078","697","749","1,082","1,064","695",25
"26",26,"Installation, maintenance, and repair occupations","821","1,064","1,057","782","839","1,066","1,051","799",26
"27",27,"Production, transportation, and material moving occupations","642","838","830","614","656","850","842","622",27
"28",28,"Production occupations","646","825","824","620","663","824","826","635",28
"29",29,"Transportation and material moving occupations","637","850","836","608","646","876","859","610",29
"30",32,"Private sector","763","907","900","753","776","917","912","765",30
"31",33,"Agriculture and related industries","502","Ð","Ð","501","522","Ð","Ð","519",31
"32",34,"Nonagricultural industries","767","907","901","756","781","918","913","769",32
