"state","zip","msa","name"
"AK",99501,11260,"Alaska"
"AK",99502,11260,"Alaska"
"AK",99503,11260,"Alaska"
"AK",99504,11260,"Alaska"
"AK",99505,11260,"Alaska"
"AK",99506,11260,"Alaska"
"AK",99507,11260,"Alaska"
"AK",99508,11260,"Alaska"
"AK",99509,11260,"Alaska"
"AK",99510,11260,"Alaska"
"AK",99511,11260,"Alaska"
"AK",99512,11260,"Alaska"
"AK",99513,11260,"Alaska"
"AK",99514,11260,"Alaska"
"AK",99515,11260,"Alaska"
"AK",99516,11260,"Alaska"
"AK",99517,11260,"Alaska"
"AK",99518,11260,"Alaska"
"AK",99519,11260,"Alaska"
"AK",99520,11260,"Alaska"
"AK",99521,11260,"Alaska"
"AK",99522,11260,"Alaska"
"AK",99523,11260,"Alaska"
"AK",99524,11260,"Alaska"
"AK",99529,11260,"Alaska"
"AK",99530,11260,"Alaska"
"AK",99540,11260,"Alaska"
"AK",99545,99002,"Alaska"
"AK",99546,99002,"Alaska"
"AK",99547,99002,"Alaska"
"AK",99548,99002,"Alaska"
"AK",99549,99002,"Alaska"
"AK",99550,99002,"Alaska"
"AK",99551,99002,"Alaska"
"AK",99552,99002,"Alaska"
"AK",99553,99002,"Alaska"
"AK",99554,99002,"Alaska"
"AK",99555,99002,"Alaska"
"AK",99556,99002,"Alaska"
"AK",99557,99002,"Alaska"
"AK",99558,99002,"Alaska"
"AK",99559,99002,"Alaska"
"AK",99561,99002,"Alaska"
"AK",99563,99002,"Alaska"
"AK",99564,99002,"Alaska"
"AK",99565,99002,"Alaska"
"AK",99566,99002,"Alaska"
"AK",99567,11260,"Alaska"
"AK",99568,99002,"Alaska"
"AK",99569,99002,"Alaska"
"AK",99571,99002,"Alaska"
"AK",99572,99002,"Alaska"
"AK",99573,99002,"Alaska"
"AK",99574,99002,"Alaska"
"AK",99575,99002,"Alaska"
"AK",99576,99002,"Alaska"
"AK",99577,11260,"Alaska"
"AK",99578,99002,"Alaska"
"AK",99579,99002,"Alaska"
"AK",99580,99002,"Alaska"
"AK",99581,99002,"Alaska"
"AK",99583,99002,"Alaska"
"AK",99584,99002,"Alaska"
"AK",99585,99002,"Alaska"
"AK",99586,99002,"Alaska"
"AK",99587,11260,"Alaska"
"AK",99588,99002,"Alaska"
"AK",99589,99002,"Alaska"
"AK",99590,99002,"Alaska"
"AK",99591,99002,"Alaska"
"AK",99599,11260,"Alaska"
"AK",99602,99002,"Alaska"
"AK",99603,99002,"Alaska"
"AK",99604,99002,"Alaska"
"AK",99605,99002,"Alaska"
"AK",99606,99002,"Alaska"
"AK",99607,99002,"Alaska"
"AK",99608,99002,"Alaska"
"AK",99609,99002,"Alaska"
"AK",99610,99002,"Alaska"
"AK",99611,99002,"Alaska"
"AK",99612,99002,"Alaska"
"AK",99613,99002,"Alaska"
"AK",99614,99002,"Alaska"
"AK",99615,99002,"Alaska"
"AK",99619,99002,"Alaska"
"AK",99620,99002,"Alaska"
"AK",99621,99002,"Alaska"
"AK",99622,99002,"Alaska"
"AK",99624,99002,"Alaska"
"AK",99625,99002,"Alaska"
"AK",99626,99002,"Alaska"
"AK",99627,99002,"Alaska"
"AK",99628,99002,"Alaska"
"AK",99629,99002,"Alaska"
"AK",99630,99002,"Alaska"
"AK",99631,99002,"Alaska"
"AK",99632,99002,"Alaska"
"AK",99633,99002,"Alaska"
"AK",99634,99002,"Alaska"
"AK",99635,99002,"Alaska"
"AK",99636,99002,"Alaska"
"AK",99637,99002,"Alaska"
"AK",99638,99002,"Alaska"
"AK",99639,99002,"Alaska"
"AK",99640,99002,"Alaska"
